Vehicle Type;Brand;Direction;Channel No.;Capture Time;Lane No.;Data Type;Violation Type
SUV/MPV;Honda-other;Two-way;1;07.03.2025 15:39;1;Checkpoint Data;Normal
SUV/MPV;Chevrolet-other;Two-way;1;07.03.2025 15:39;1;Checkpoint Data;Normal
Car;Benz-other;Two-way;1;07.03.2025 15:39;1;Checkpoint Data;Normal
SUV/MPV;Toyota-other;Two-way;1;07.03.2025 15:40;1;Checkpoint Data;Normal
Car;Skoda-other;Two-way;1;07.03.2025 15:40;1;Checkpoint Data;Normal
SUV/MPV;Mazda-other;Two-way;1;07.03.2025 15:40;1;Checkpoint Data;Normal
Car;Mazda-other;Two-way;1;07.03.2025 15:41;1;Checkpoint Data;Normal
Car;Fiat-other;Two-way;1;07.03.2025 15:45;1;Checkpoint Data;Normal
SUV/MPV;Volkswagen-other;Two-way;1;07.03.2025 15:45;1;Checkpoint Data;Normal
Car;Audi-other;Two-way;1;07.03.2025 15:46;1;Checkpoint Data;Normal
Car;Lexus-other;Two-way;1;2025-03-07 15:46:34.086;1;Checkpoint Data;Normal
Car;Benz-other;Two-way;1;07.03.2025 15:46;1;Checkpoint Data;Normal
SUV/MPV;Skoda-other;Two-way;1;07.03.2025 15:46;1;Checkpoint Data;Normal
SUV/MPV;Hyundai-other;Two-way;1;2025-03-07 15:46:55.086;1;Checkpoint Data;Normal
SUV/MPV;Renault-other;Two-way;1;07.03.2025 15:46;1;Checkpoint Data;Normal
SUV/MPV;Renault-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
Car;Toyota-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
Car;Audi-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
Car;Suzuki-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
Car;Toyota-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
Car;Skoda-other;Two-way;1;2025-03-07 15:47:19.086;1;Checkpoint Data;Normal
Minivan;Ford-other;Two-way;1;2025-03-07 15:47:22.086;1;Checkpoint Data;Normal
Car;Audi-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
SUV/MPV;Suzuki-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
SUV/MPV;Volkswagen-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
